https://www.avito.ru/sankt_peterburg_i_lo/noutbuki?p=1
MacBook Air красивый ультрабук ssd\nvidia 320,Компания,5 мая 02:47,/sankt-peterburg/noutbuki/macbook_air_krasivyy_ultrabuk_ssdnvidia_320_1888625671?slocation=107621,18 000  ₽
SAMSUNG np300e5a,Компания,5 мая 00:29,/sankt-peterburg/noutbuki/samsung_np300e5a_1438492367?slocation=107621,500  ₽
MacBook Air 13 2011\ssd 128,Частник,5 мая 00:21,/sankt-peterburg/noutbuki/macbook_air_13_2011ssd_128_1938071041?slocation=107621,17 990  ₽
Sony,Компания,4 мая 23:51,/sankt-peterburg/noutbuki/sony_1871084106?slocation=107621,2 000  ₽
Asus ROG chimera G703GXR,Частник,5 мая 02:09,/sankt-peterburg/noutbuki/asus_rog_chimera_g703gxr_1948560201,220 000  ₽
HP envy 15 обмен,Частник,5 мая 00:13,/sankt-peterburg/noutbuki/hp_envy_15_obmen_1863071728?slocation=107621,25 000  ₽
Продам ноутбук Acer,Частник,4 мая 23:46,/pikalevo/noutbuki/prodam_noutbuk_acer_1902333812?slocation=107621,4 500  ₽
Ноутбук asus U35L,Частник,4 мая 23:40,/sankt-peterburg/noutbuki/noutbuk_asus_u35l_1857555151?slocation=107621,3 000  ₽
Нетбук,Частник,5 мая 00:19,/sankt-peterburg/noutbuki/netbuk_1920278567?slocation=107621,5 000  ₽
Продаю ноутбук Lenovo,Частник,4 мая 23:34,/sankt-peterburg/noutbuki/prodayu_noutbuk_lenovo_864198652,8 999  ₽
Ноутбук Lenovo 510s-13isk 13.3/fhd/4gb/i3/128,Частник,5 мая 00:06,/sankt-peterburg/noutbuki/noutbuk_lenovo_510s-13isk_13.3fhd4gbi3128_1942802509?slocation=107621,15 000  ₽
Ноутбук MSI MS-163B,Частник,5 мая 00:13,/sankt-peterburg/noutbuki/noutbuk_msi_ms-163b_1877849383,1 500  ₽
Ноутбук Lenovo,Частник,4 мая 23:19,/sankt-peterburg/noutbuki/noutbuk_lenovo_1856188259,6 000  ₽
MSI игровой ноутбук,Частник,5 мая 00:20,/sankt-peterburg/noutbuki/msi_igrovoy_noutbuk_1893632949?slocation=107621,36 000  ₽
Ноутбук Acer 5755G/Core i7 2670QM/12Gb/hdd 1Tb/2Gb,Частник,5 мая 00:43,/sankt-peterburg/noutbuki/noutbuk_acer_5755gcore_i7_2670qm12gbhdd_1tb2gb_1890686642,17 190  ₽
Asus x201e,Частник,4 мая 22:58,/yanino-1/noutbuki/asus_x201e_1945884189,6 500  ₽
"Мощный Asus ROG 17"" 16Гб Core i7 GTX",Частник,5 мая 02:59,/sankt-peterburg/noutbuki/moschnyy_asus_rog_17_16gb_core_i7_gtx_1942146002,44 999  ₽
Pro 13\4-Гига\320gb-HDD,Компания,5 мая 01:27,/sankt-peterburg/noutbuki/pro_134-giga320gb-hdd_1900481491,13 999  ₽
Ноутбук Lenovo,Частник,4 мая 23:06,/sankt-peterburg/noutbuki/noutbuk_lenovo_1901678984,Цена не указана
"Apple 13""\Core 2 DUO\2gb-Ram\80gb-HDD",Компания,5 мая 00:48,/sankt-peterburg/noutbuki/apple_13core_2_duo2gb-ram80gb-hdd_1900402711,13 000  ₽
Apple MacBook Pro 13 2009,Частник,4 мая 23:34,/murino/noutbuki/apple_macbook_pro_13_2009_1442770809?slocation=107621,22 999  ₽
Ноутбук нр,Частник,4 мая 23:15,/sankt-peterburg/noutbuki/noutbuk_nr_1901168366,Цена не указана
Acer Switch One S1003 нетбук,Частник,4 мая 23:15,/sankt-peterburg/noutbuki/acer_switch_one_s1003_netbuk_1900413793,8 000  ₽
Ноутбук SAMSUNG NP355V5C,Компания,5 мая 01:46,/sankt-peterburg/noutbuki/noutbuk_samsung_np355v5c_1719501126,11 499  ₽
Ноутбук tochiba,Частник,4 мая 23:12,/sankt-peterburg/noutbuki/noutbuk_tochiba_1901273855,Цена не указана
"Леново игровой G770 17,3 экран",Частник,4 мая 22:48,/sankt-peterburg/noutbuki/lenovo_igrovoy_g770_173_ekran_1813663598?slocation=107621,10 000  ₽
Macbook pro13 / 2010,Частник,4 мая 23:01,/sankt-peterburg/noutbuki/macbook_pro13_2010_1882386534,22 000  ₽
HP Compaq 500 RQ257AA 14 дюймов,Компания,4 мая 23:41,/sankt-peterburg/noutbuki/hp_compaq_500_rq257aa_14_dyuymov_1929795143,499  ₽
Отличный домашний Celeron\1gb-ram\160gb-HDD,Компания,5 мая 01:23,/sankt-peterburg/noutbuki/otlichnyy_domashniy_celeron1gb-ram160gb-hdd_1900621071,5 500  ₽
Ноутбук Lenovo,Частник,4 мая 22:26,/sankt-peterburg/noutbuki/noutbuk_lenovo_1943369417?slocation=107621,5 000  ₽
Игровой ультрабук MSI PS42 Modern 8RC,Частник,5 мая 03:14,/sankt-peterburg/noutbuki/igrovoy_ultrabuk_msi_ps42_modern_8rc_1947408178,50 000  ₽
HP Pavilion dv6000,Частник,4 мая 23:18,/sankt-peterburg/noutbuki/hp_pavilion_dv6000_1922031372?slocation=107621,500  ₽
"Ноутбук SAMSUNG i5 15.6""",Частник,4 мая 22:25,/sankt-peterburg/noutbuki/noutbuk_samsung_i5_15.6_1927003052,7 000  ₽
Ноутбук SAMSUNG r520,Частник,4 мая 22:19,/sankt-peterburg/noutbuki/noutbuk_samsung_r520_1895884084,7 000  ₽
Mak Pro 15\11-год\Core-i7\SSD-128\8-гигов,Компания,5 мая 01:00,/sankt-peterburg/noutbuki/mak_pro_1511-godcore-i7ssd-1288-gigov_1900369704,26 999  ₽
Матрица с корпусом SAMSUNG NP-R525-JS03RU,Частник,4 мая 22:45,/gatchina/noutbuki/matritsa_s_korpusom_samsung_np-r525-js03ru_1891874457?slocation=107621,2 000  ₽
Acer aspire 1410-232g25i,Частник,4 мая 22:22,/sankt-peterburg/noutbuki/acer_aspire_1410-232g25i_1876094700?slocation=107621,2 900  ₽
Apple MacBook Pro 15.core i7\8 гигов\ретина,Компания,5 мая 02:46,/sankt-peterburg/noutbuki/apple_macbook_pro_15.core_i78_gigovretina_1888387704?slocation=107621,48 000  ₽
Acer Aspirer V3-571G на разбор,Частник,5 мая 01:18,/sankt-peterburg/noutbuki/acer_aspirer_v3-571g_na_razbor_1947968903,Цена не указана
"Ноутбук HP,Acer,Asus,Dell",Победа сеть комиссионных магазинов Санкт-Петербург,4 мая 23:44,/sankt-peterburg/noutbuki/noutbuk_hpacerasusdell_938834427,6 900  ₽
Ноутбук Sony Vaio VGN-S5XRP/B(PCG-6H2) на запчасти,Компания,5 мая 00:04,/sankt-peterburg/noutbuki/noutbuk_sony_vaio_vgn-s5xrpbpcg-6h2_na_zapchasti_1299908171?slocation=107621,4 000  ₽
https://www.avito.ru/sankt_peterburg_i_lo/noutbuki?p=3
Ноутбук Fujitsu Сore i5 / 4 GB,Компания Альянс - НОУТБУКИ ДЛЯ ВСЕХ,4 мая 18:31,/sankt-peterburg/noutbuki/noutbuk_fujitsu_sore_i5_4_gb_1861305903,13 900  ₽
Fujitsu H760 i7,Частник,4 мая 18:03,/sankt-peterburg/noutbuki/fujitsu_h760_i7_1899333755?slocation=107621,60 000  ₽
Новый Ноутбук Asus /Ryzen 3/ 8 GB,Компания Альянс - НОУТБУКИ ДЛЯ ВСЕХ,4 мая 17:46,/sankt-peterburg/noutbuki/novyy_noutbuk_asus_ryzen_3_8_gb_1861148270,38 990  ₽
Ноутбук HP Core i3,Компания Альянс - НОУТБУКИ ДЛЯ ВСЕХ,4 мая 17:31,/sankt-peterburg/noutbuki/noutbuk_hp_core_i3_1861030141,12 300  ₽
"Acer 7720 17, 1""",Компания,4 мая 21:45,/sankt-peterburg/noutbuki/acer_7720_17_1_1050812918?slocation=107621,6 000  ₽
Asus x502c,Частник,4 мая 22:16,/sankt-peterburg/noutbuki/asus_x502c_1927951584,9 990  ₽
Ноутбук dell,Частник,4 мая 21:39,/sankt-peterburg/noutbuki/noutbuk_dell_1695897676?slocation=107621,2 000  ₽
Ноутбук hp (1Tb внутренний накопитель),Частник,4 мая 22:30,/sankt-peterburg/noutbuki/noutbuk_hp_1tb_vnutrenniy_nakopitel_1816059538,14 000  ₽
Acer Extensa 5220,Частник,4 мая 21:32,/sankt-peterburg/noutbuki/acer_extensa_5220_1773114658?slocation=107621,3 500  ₽
Aser aspire 5530G,Компания,4 мая 21:22,/kudrovo/noutbuki/aser_aspire_5530g_966632635?slocation=107621,2 499  ₽
Ноутбук HP на Core i5,Частник,4 мая 22:54,/sankt-peterburg/noutbuki/noutbuk_hp_na_core_i5_1904458283?slocation=107621,14 900  ₽
Pro 15\2-ядра\SSD-HDD\2-видяхи\2009год,Компания,5 мая 01:19,/sankt-peterburg/noutbuki/pro_152-yadrassd-hdd2-vidyahi2009god_1900839355,21 999  ₽
Ноутбук asus K50IJ,Частник,4 мая 22:54,/sankt-peterburg/noutbuki/noutbuk_asus_k50ij_34594337?slocation=107621,19 990  ₽
"Ноутбук Dell e7250 12""",Компания,4 мая 22:14,/sankt-peterburg/noutbuki/noutbuk_dell_e7250_12_1945442721?slocation=107621,16 000  ₽
Asus x5ms 15' core-i5 2430m 4GB DDR3 1000TB GT540M,Частник,4 мая 22:59,/sankt-peterburg/noutbuki/asus_x5ms_15_core-i5_2430m_4gb_ddr3_1000tb_gt540m_1906050550,16 500  ₽
MSI GX710 с проблемами,Компания,4 мая 21:46,/sankt-peterburg/noutbuki/msi_gx710_s_problemami_276180525,5 400  ₽
Asus K55A,Частник,4 мая 21:46,/luga/noutbuki/asus_k55a_1920536310?slocation=107621,7 000  ₽
Ноутбук Lenovo ThinkPad T410s / Core i5 / 4 GB,Частник,4 мая 23:58,/sankt-peterburg/noutbuki/noutbuk_lenovo_thinkpad_t410s_core_i5_4_gb_1939640661?slocation=107621,14 400  ₽
Ноутбук HP 15-ay068ur,Частник,4 мая 22:30,/sankt-peterburg/noutbuki/noutbuk_hp_15-ay068ur_1943736321?slocation=107621,13 000  ₽
Asus k55d,Частник,4 мая 21:26,/sankt-peterburg/noutbuki/asus_k55d_1919138134,6 000  ₽
Ноутбук Sony vaio,Частник,4 мая 21:34,/sankt-peterburg/noutbuki/noutbuk_sony_vaio_1917234192,11 999  ₽
Ноутбук HP Probook 6570b / Core i5 / 4 GB,Частник,5 мая 00:07,/sankt-peterburg/noutbuki/noutbuk_hp_probook_6570b_core_i5_4_gb_1939200736?slocation=107621,15 000  ₽
Packard Bell,Частник,4 мая 21:23,/sankt-peterburg/noutbuki/packard_bell_1919418385,5 500  ₽
SAMSUNG,Частник,4 мая 21:51,/sankt-peterburg/noutbuki/samsung_1930106004?slocation=107621,8 000  ₽
Ноутбук HP 15-AF117UR,Частник,4 мая 22:12,/sankt-peterburg/noutbuki/noutbuk_hp_15-af117ur_1832527104?slocation=107621,13 500  ₽
Ноутбук / HP Probook 640 / Сore i5 / 4 GB,Частник,4 мая 23:51,/sankt-peterburg/noutbuki/noutbuk_hp_probook_640_sore_i5_4_gb_1939605195?slocation=107621,18 000  ₽
Dell HD+\Core-i5-Vpro-4300m\4gb\360gb-HDD,Компания,5 мая 01:08,/sankt-peterburg/noutbuki/dell_hdcore-i5-vpro-4300m4gb360gb-hdd_1900719775,13 999  ₽
HP mini 2133 с проблемами,Компания,4 мая 21:24,/sankt-peterburg/noutbuki/hp_mini_2133_s_problemami_265085580,4 440  ₽
"Dell 3721 17.3"" 2 ядра",Частник,4 мая 21:29,/sankt-peterburg/noutbuki/dell_3721_17.3_2_yadra_1937014676,12 000  ₽
Нетбук SAMSUNG N102,Частник,4 мая 21:06,/sankt-peterburg/noutbuki/netbuk_samsung_n102_1923379323,2 300  ₽
Thinkpad T410,Компания,4 мая 22:28,/sankt-peterburg/noutbuki/thinkpad_t410_1905065480?slocation=107621,11 000  ₽
Ноутбук Lenovo W520 / Core i7 / 4 GB,Частник,5 мая 00:03,/sankt-peterburg/noutbuki/noutbuk_lenovo_w520_core_i7_4_gb_1939822416?slocation=107621,20 000  ₽
Toshiba satellite C650-18J на запчасти,Частник,4 мая 21:57,/sankt-peterburg/noutbuki/toshiba_satellite_c650-18j_na_zapchasti_1893293441,3 500  ₽
Макбук Про 2012/i5/4/500,Частник,4 мая 21:51,/sankt-peterburg/noutbuki/makbuk_pro_2012i54500_1904135050?slocation=107621,32 250  ₽
Отличный ноутбук HP 630 на SSD с новой батареей,Частник,4 мая 23:57,/priozersk/noutbuki/otlichnyy_noutbuk_hp_630_na_ssd_s_novoy_batareey_1914780378,9 000  ₽
MacBook Pro 15 2009 год,Частник,4 мая 21:17,/sankt-peterburg/noutbuki/macbook_pro_15_2009_god_1904083180,13 000  ₽
Fujitsu stylistic Q702 Core i5,Частник,4 мая 21:45,/sankt-peterburg/noutbuki/fujitsu_stylistic_q702_core_i5_1872636943,14 000  ₽
Ноутбук Asus K52 на запчасти,Компания,4 мая 21:48,/sankt-peterburg/noutbuki/noutbuk_asus_k52_na_zapchasti_781147603,7 150  ₽
Ноутбук Lenovo T510 / Core i5 / 4 GB,Частник,4 мая 23:15,/sankt-peterburg/noutbuki/noutbuk_lenovo_t510_core_i5_4_gb_1939253073?slocation=107621,15 000  ₽
Ноутбук SAMSUNG R 530,Частник,4 мая 21:28,/sankt-peterburg/noutbuki/noutbuk_samsung_r_530_1923644035,Цена не указана
